"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Comercio de servicios (% del PIB)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","65.9366391184572","66.1970217640321","68.9606741573034","64.9156626506024","71.3805697589481","71.1531069827033","76.2529137529138","71.3769984528108","68.4618834080718","131.539763113367","185.603238866396","175.685630926331","119.909426366991","94.898832684825","118.980912615568","128.618556701031","93.651195899772","114.193768789287","84.2066402378592","85.5788085402408","83.5858396407675","84.2770707281452","84.311259579485","87.359439947495","91.2704918032789","95.6903854299026","98.9104892117068","101.747475916445","105.792100900721","100.742563423831","98.2870581393994","99.7731761402994","106.231575375354","104.729569436539","86.5951897330418","",
"","AFE","Comercio de servicios (% del PIB)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","","7.86146013621286","8.82609258615128","8.54199321652202","8.37142731900701","8.49990599427995","8.13934929266443","7.13715633420213","7.25630389386836","8.39157302017808","7.66068002800178","7.21461763843411","7.41109985186102","7.66478092592186","7.70851823732581","7.06946871837241","8.70657536845292","9.30472966798575","9.6526788312974","9.89925334361616","10.4045582006532","10.4932781240339","11.3547341756238","11.465418180816","10.5322516899872","11.2869722874712","11.4265412305111","10.6892836587672","10.6413146178136","10.8790132288835","11.1715155166492","11.9272774595641","13.1850640038751","11.9070862606749","11.5366909278445","11.9650482849612","11.9269440215115","11.9204360104405","12.0942329843482","11.6195054300456","11.1328026852858","10.2975309853371","11.2226798798254","10.6301848710745","8.2379852036099","",
"Afganistán","AFG","Comercio de servicios (% del PIB)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","","","","5.94114495271469","4.92623914937334","5.60540064803658","","","","","","","","","","","","","","","","","","","","","","","","","","","20.2117094518578","20.5621233265122","20.2652948738","23.3342036307082","18.2504588316243","11.9424109363254","13.8664174484704","10.7426848656866","9.05292561748542","8.58067627359032","11.6383009120807","9.9181306788779","8.97181880510801","",
"","AFW","Comercio de servicios (% del PIB)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","","11.9208418220563","12.6792586036691","11.6656122435041","12.2767212810967","6.0208948279231","5.50427238238546","6.52300335756062","7.01377790659257","7.28851060769916","8.01874811416273","7.93025831729208","8.38782705949382","10.1155603718965","10.2861586927445","11.0350355591444","10.6266561068056","13.8677799259262","13.9057685787617","9.45458951249831","9.48484217906079","8.54881558952993","8.79894781175838","10.9093986844647","10.9741435042374","11.9179774819299","10.8980710965081","11.0054830583438","10.1209691173377","8.8060803970625","9.76746544817919","10.0967788482856","10.3419683847941","10.0724526538347","9.32083842052927","9.52758861402792","8.7830121889427","7.94376983683994","7.91800819548259","8.62711230621711","8.1537223748972","9.83932516072563","11.4549220825061","12.5315133526758","9.00930036921149","",
"Angola","AGO","Comercio de servicios (% del PIB)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","10.1938682314994","9.94052182010718","6.38307978170175","14.3911956082594","12.9887965490523","17.0615379899092","18.9592686666667","26.3034511370943","28.9093573290816","38.5979291107506","39.0784615518171","35.7532463995354","35.8763676514716","42.374926284634","44.6542241055462","32.4959656911971","41.6361175932521","23.085715691937","19.7736273354617","21.7624215323432","18.8467278553635","17.1730529801315","19.8478039714288","25.3773971719687","28.1516344311624","24.0040981186054","22.2979877651822","18.3397549710461","18.2739863867671","19.4098925093025","21.2480417611426","26.7401666863481","21.425666448982","13.7809841938089","12.4469242035751","10.5737661731022","9.82781592878019",
"Albania","ALB","Comercio de servicios (% del PIB)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","1.85749711575362","1.73427151029927","1.70216722362579","2.03287563594946","2.72031073943823","3.02251574504347","2.9873499777859","3.87428040912866","16.7746389446098","20.2055913697448","11.2496253999846","10.6696652466699","9.95736604667438","5.47672059675725","6.508731655095","14.3487716245035","25.5318763205832","25.3129649710976","26.9593284811972","27.598162857426","30.0027766489941","32.9051245290765","36.1879342396954","37.7341077267002","39.6561713101477","40.6013904971287","38.4822128372387","39.2694310488183","34.9265912703328","33.3607507913208","34.4802886577648","34.3873395874008","37.2773563494623","40.3938990008864","39.1275844857105","40.2638840626105","25.7412007732001","33.3506603852112",
"Andorra","AND","Comercio de servicios (% del PIB)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.5795786692594","75.315532602875","",
"El mundo árabe","ARB","Comercio de servicios (% del PIB)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","","14.5644444898313","16.7470138782004","20.3644187587174","17.5008754549775","20.274954756102","19.9477063506132","21.5079389732389","20.185440126783","18.4872709019925","15.9785420218788","14.7007414905085","15.2106988027819","15.759642279775","","18.8214573904699","20.3960100124301","18.2221212918816","15.7883162198802","15.2816896138928","15.2120071818208","15.3604127354927","14.1551676380295","13.9216675286815","13.787434910583","13.0258830787776","14.6981423792625","15.7597311606658","16.4807547830005","15.0686961704954","15.8159294616483","16.4973447461434","15.6254494208527","16.8721225880668","15.2113429967483","14.6003900193939","14.0225631563419","14.1561213922228","15.8779128898752","17.0764767845204","16.2821492014305","17.4213728888816","17.6711870622766","17.1324257442862","13.2714332411778","",
"Emiratos Árabes Unidos","ARE","Comercio de servicios (% del PIB)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Comercio de servicios (% del PIB)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","2.84544504649875","3.37789048552415","4.5297348304564","6.04023007359191","7.35948339734322","6.54576346112915","4.26059432533735","3.53821081369546","4.80453131037769","4.34081044642107","3.69317219969648","3.92417375368733","3.73751601125561","6.50600445444332","3.93767720386387","3.38129903643769","3.71237874675919","3.9564045565041","4.05546923555003","4.28063600700301","4.52661033446144","4.62371249650554","4.72118070582919","4.76483230820728","4.95398955911897","4.84780538283328","8.47726212553586","7.81891734473324","7.09409499310412","7.02181442228367","7.13157161999355","7.32894576338543","6.934055005559","6.93180305694933","6.47688840245541","6.06350000180398","5.96931835780134","5.92159618620857","5.97242272666435","5.42111948411949","6.33167395769763","6.32474044596482","7.54918134774687","7.59563088004143","5.40036653043004","4.51553899390632",
