"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Benin","BEN","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.9","30.9","30.9","30.9","30.9","26.4","26.4","26.4","26.4","26.4","26.4","26.4","26.4","26.4","26.4","","",
"Burkina Faso","BFA","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.6","22.6","22.6","22.6","22.6","22.6","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","21.4","","",
"Bangladesh","BGD","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","","",
"Bulgaria","BGR","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.8","33.4","26.6","26.8","22.9","20.4","19.2","20.2","20.2","20.2","20.2","20.2","20.2","20.8","21.5","","",
"Bahrein","BHR","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7","14.7","14.7","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","","",
"Bahamas","BHS","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","4.5","4.5","4.5","6.1","6.1","6.3","6.3","6.3","6.3","6.3","6.3","6.4","","",
"Bosnia y Herzegovina","BIH","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2","17.2","17.2","17.2","17.6","12.6","12.6","12.6","13.5","13.5","13.5","13.5","13.5","13.6","13.6","","",
"Belarús","BLR","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.1","44.1","44.1","39.6","39.6","39.3","39","39","39","39","39","39","39","39","39","","",
"Belice","BLZ","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","7","7","7","7","7","5","5","5","5","5","5","5","","",
"Bermudas","BMU","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
