"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Exportaciones de metales y minerales (% de las exportaciones de mercaderías)","TX.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0217232356540141","0.184955756611719","0.111562661455705","0.105130154944915","0.0886561304133523","0.097091478446803","0.349718425137364","0.603313301445307","1.70076889286821","0.173127115119192","0.203725059530665","1.29325828901818","1.9733066698771","1.82475490320263","2.58868403929088","4.37936083511966","12.8205281680644","17.1621313741709","6.46186099415558","5.64271256444269","4.16334665433535","3.68467599944075",
"","AFE","Exportaciones de metales y minerales (% de las exportaciones de mercaderías)","TX.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","18.8079640751206","","","","14.3722917125524","12.630698520819","4.68449069412704","5.20813711638583","","","","","","","","","","","","","","","","10.3668113663016","","18.4698582448094","11.3133195108096","19.8438057233785","12.8714839439035","17.7012185330208","19.6742313126307","20.595251405437","25.5331422429342","22.2729820361854","26.1809055611134","20.327065666052","21.6501108296214","21.8439190257478","20.1034347424776","20.3369363511051","19.7953098621187","20.5057409987956","19.1258918601618","19.6730534800183","20.0027280217732","22.2304611376221","29.6422386203297","",
"Afganistán","AFG","Exportaciones de metales y minerales (% de las exportaciones de mercaderías)","TX.VAL.MMTL.ZS.UN","","","","","","","0.0721230987705362","0.0749262608150336","","","","","","","0.0654570597940185","","0.000120402639268663","0.00120959845684641","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.137976802486954","0.275244541510738","0.305786388425507","","","","1.06525272819338","1.12452208638717","0.83809143240314","1.20988438299409","2.19992094192385","","",
"","AFW","Exportaciones de metales y minerales (% de las exportaciones de mercaderías)","TX.VAL.MMTL.ZS.UN","","","4.4319386832069","7.51997923257021","8.4961045913912","8.95262248723462","9.38762990708783","9.07033446262565","8.71610058713874","7.50850030686675","6.31008339520346","6.32889757862964","5.452032453689","3.72295518773341","3.85775124042818","4.25755905270158","4.48600361241228","4.41165854545148","4.77295825828454","4.18015145706031","","5.93403565367394","","2.92691537998192","","","","","","","","","","","","","4.02990416633014","4.74718541529832","3.73097212909659","3.53483258179361","4.10463183183","4.18437841299906","3.43288330776563","2.1831163623974","","","2.36055598689792","3.67154745972618","3.61215215798028","1.90941346900361","2.55108138412843","1.87180130103377","1.63862344787496","3.13969977362875","3.40427696263216","2.8677163799403","2.44985093466208","1.97427206218994","2.04555166889313","2.24966797021966","","",
"Angola","AGO","Exportaciones de metales y minerales (% de las exportaciones de mercaderías)","TX.VAL.MMTL.ZS.UN","","","3.87910351086917","","","","","","","12.1507729058846","12.1220461768477","10.1297315544077","7.76427427112911","6.70517230949005","4.14612510455178","","","","0.0746907067539707","0.0579575801792828","0.103770390935114","0.22316565461298","","","","","","","","","6.22259790016432","4.85604896004024","","","","","","","","","","","","","","","","2.6754262387962","","2.00203147222072","2.03762931763898","1.82030992184898","1.56671577949772","1.70731149604581","2.18366735941927","3.24392135052176","3.5430584083964","3.2888111877969","2.85933446029514","3.53214855588873","","",
"Albania","ALB","Exportaciones de metales y minerales (% de las exportaciones de mercaderías)","TX.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5926724587052","9.3259391302539","12.5983303691208","3.91057422218601","3.7179233054858","2.91299499497097","3.43255983968605","4.09518729937779","5.55303918360657","24.1407825764506","37.8643455707951","13.556991094879","32.5786009009848","9.55255174912569","12.8160980293912","11.8992063321516","10.9118328438961","9.78060057087312","4.58216010178408","7.54584263344886","8.80533257546907","5.05886898558975","2.02773332086022","3.10433628032436","4.08685599913531","",
"Andorra","AND","Exportaciones de metales y minerales (% de las exportaciones de mercaderías)","TX.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.28774093082588","2.18180773109279","1.66116587733965","1.51417337793656","2.1112519505349","2.19826613149543","2.32001965157747","2.14867273955292","2.35995314121409","2.56704139737746","2.18896354486335","1.82200271689541","2.86275108752025","3.61330167576776","2.8771000294632","4.28347075976846","3.45045815564834","3.60995738692619","3.23122244546925","3.9969773546561","4.50860643403967","2.41509394012002","2.6522441133099","3.21302773957737","","","",
"El mundo árabe","ARB","Exportaciones de metales y minerales (% de las exportaciones de mercaderías)","TX.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","2.31320775190513","2.96679859009828","","","","","","","","","","","","34.6139499243775","28.7291200088501","22.9596736160587","","","","","","2.4377679053909","2.1968752104048","2.44516150784513","1.81485000417548","1.69833444548615","1.38934246055418","2.05221056216139","1.38974678048152","1.37774395646817","1.6912823343001","1.39761145155346","1.56829309345717","1.71178890688184","2.25961476391923","2.01298226525797","2.54767784805371","3.57043878547673","3.71960176124214","3.91904820074497","4.13871935923805","3.23788426726954","2.84263191822108","",
"Emiratos Árabes Unidos","ARE","Exportaciones de metales y minerales (% de las exportaciones de mercaderías)","TX.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","0.0309864749844809","0.0249046521644514","","","","42.4517103937437","","","","","","","","78.0927765118536","67.7339781897313","54.886383240713","","","","","","4.01040426808986","3.17123176217688","3.70983529958869","2.058972392629","1.70610997692075","1.07668388293058","0.968747921724651","1.37797638535551","1.21861594925912","0.91452342479419","0.862793085303155","1.02364676133139","1.13331007043112","1.61864434587426","1.98932139408331","3.27214956130429","4.52368131648225","4.88854854395622","5.35454209923513","6.00505065769388","3.77275733996035","3.41081233456813","",
"Argentina","ARG","Exportaciones de metales y minerales (% de las exportaciones de mercaderías)","TX.VAL.MMTL.ZS.UN","","","0.813335466392559","0.8338185685096","0.500304019044815","0.268986496528575","0.286643986534945","0.468486610902632","0.645334987792454","0.51577515245482","0.471868854172276","0.529028631535198","0.463152579210259","0.376045074874961","0.47533124127035","0.298571509046831","0.301816725317076","0.266728514132532","0.56833148852063","0.962451116340407","2.1729330219299","1.75455167719082","1.58668728647961","1.30530313653764","1.30632882062616","1.7241380649244","1.82566668529541","2.41126818011","","","","","1.16809954166824","1.15900037878705","1.31190920146745","1.6319182010604","1.16622888074536","1.54525234767863","2.72640652681059","3.27440510617291","2.95260482914875","3.05270707923539","3.86643385692681","3.00518542990703","3.91732292241496","3.21539774249875","4.22283436478006","3.81560735354694","3.20115086300142","3.75718173585009","4.2913752113995","3.93876593149719","4.06073948658929","3.17808809731559","3.26437711403037","2.74931567838647","3.21486753032155","3.19025791652857","0.47546908537256","0.440474608671122","0.217988929465899","0.0559330328460208",
